Restaurant,pic,url
The Eatery,https://lh3.googleusercontent.com/p/AF1QipOZu4tfYWYsw7Dyb3sfFsAhoppd36kvj_BbuzFy=s680-w680-h510,https://marriottbonvoyasia.com/restaurants-bars/Four-Points-by-Sheraton-Visakhapatnam-The-Eatery
WelcomeCafe Oceanic Restaurant,https://lh3.googleusercontent.com/p/AF1QipNrscyk0YUI5nXdsoyHrMaC18o5uBCWp4uiZnA6=s680-w680-h510,https://www.itchotels.com/in/en/restaurant-listing?hotel=fortuneparkpanchwati-kolkata
7th Phase,https://b.zmtcdn.com/data/pictures/4/19984024/3676f41ea561216d5bf4a1f3e2daae60.jpg,https://www.zomato.com/visakhapatnam/7th-phase-kurmannapalem-vizag
Barbeque Nation,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/9/h/n/p95-16444959626205045ab0b43.jpg?w=400,https://www.barbequenation.com/
Flying spaghetti Monster,https://lh3.googleusercontent.com/p/AF1QipM_h3few_1ASLYgON88p79muK5lm41AF8C9YudT=s680-w680-h510,http://www.fsm.in/
Mekong Restaurant,https://lh3.googleusercontent.com/p/AF1QipMwPGOij-CMDdN5Pjy9GrJpjDUWHtWLaF3uqzk=s680-w680-h510,https://www.zomato.com/visakhapatnam/mekong-hotel-greenpark-waltair-uplands-vizag
Dakshin  Restaurant,"https://res.cloudinary.com/simplotel/image/upload/w_5000,h_3333/x_0,y_260,w_5000,h_2813,r_0,c_crop,q_80,fl_progressive/w_600,f_auto,c_fit/hotel-daspalla-visakhapatnam/DAKSHIN_restaurant_at_Hotel_Daspalla_Visakhapatnam_2",https://www.zomato.com/visakhapatnam/dakshin-jagadamba-junction-vizag/menu
Upland Bistro,https://content3.jdmagicbox.com/comp/visakhapatnam/k1/0891px891.x891.170301062156.e5k1/catalogue/upland-bistro-waltair-uplands-visakhapatnam-restaurants-5cgcqm0545.jpg?clr=,https://www.uplandbistro.com/
The Spicy Venue Restaurant ,https://lh3.googleusercontent.com/p/AF1QipP90zs7JdAQD5YP6Gzq0JXTMvv4wMQ82WwFvJoR=s680-w680-h510,https://www.spicyvenue.com/shop/35sry1esnx
Ming Garden,https://lh3.googleusercontent.com/p/AF1QipPbdhe4KnRuzQ_27aIyhpyqUoa5ga21VA20-Wdg=s680-w680-h510,https://www.zomato.com/visakhapatnam/ming-garden-the-gateway-hotel-maharani-peta-vizag
Platform 65,https://lh3.googleusercontent.com/p/AF1QipOjeRxmOQSSVnLETYL0OpsVoa2EeDESVu2iN6HF=s680-w680-h510,https://vizag.platform65.in/
Horizon Restaurant,https://lh3.googleusercontent.com/p/AF1QipPgh0X9cHEuCihH3CZOeIwnJOyd-F9L5xVeoYxY=s680-w680-h510,https://www.zomato.com/visakhapatnam/horizon-multi-cuisine-restaurant-allipuram-vizag/menu
Celebrations Restaurant,https://lh3.googleusercontent.com/p/AF1QipNe39_W7m_oCyTLrS6rA-5f2qwYxkgOQl2MMKK_=s680-w680-h510,https://www.zomato.com/visakhapatnam/celebrations-restaurant-akkayyapalem-vizag
INBOX Multi cuisne Restaurant,https://lh3.googleusercontent.com/p/AF1QipNiSJaIJLlc1ufwqZZXPBrQ2G3tefDUmYuzyUE_=s680-w680-h510,https://www.zomato.com/visakhapatnam/inbox-multi-cuisine-restaurant-gajuwaka-vizag
Barkaas ,https://lh3.googleusercontent.com/p/AF1QipOhTnXKZCVJ4gxDNHmxQIBlBY9RzP9ryndVulC-=s680-w680-h510,https://www.zomato.com/visakhapatnam/barkaas-arabic-restaurant-dwaraka-nagar-vizag
Aqua ,https://lh3.googleusercontent.com/p/AF1QipM8Mz54Es2CTDpYGlrvIpQSfJ4msFQc_Ioy4nIe=s680-w680-h510,https://www.zomato.com/visakhapatnam/aqua-the-park-lawsons-bay
My Restaurant,https://lh3.googleusercontent.com/p/AF1QipP9Ih0D1BOYrCy9XMzmOjkLp5GEXg4WAK2Uv-Cw=s680-w680-h510,https://www.zomato.com/visakhapatnam/my-restaurant-maddilapalem-vizag
Kanhaji Restaurant,https://lh3.googleusercontent.com/p/AF1QipMmAy1UqfsI4n8AizVd_FAeivKn-rqqdibjjR6Q=s680-w680-h510,https://www.zomato.com/visakhapatnam/kanhaji-family-restaurant-allipuram-vizag
Arabian Restaurant,https://lh3.googleusercontent.com/p/AF1QipOVTohZ3N1l0YG3pEd9r9bxOe2imrXLmXNfSfsu=s680-w680-h510,https://www.zomato.com/visakhapatnam/the-arabian-restaurant-marripalem-vizag
The Square,https://lh3.googleusercontent.com/p/AF1QipN_sftrW_F3Gj9a7hZaVS9Xg4z2OgkTCdaQcBwe=s680-w680-h510,https://www.zomato.com/visakhapatnam/the-square-hotel-novotel-maharani-peta-vizag
District 12 Resto café,https://lh3.googleusercontent.com/p/AF1QipPzYC08ebApmm98FDFbO66o2z44EsKf3r9b4uL5=s680-w680-h510,https://www.zomato.com/visakhapatnam/district-12-siripuram-vizag
Uma Parlour,https://lh3.googleusercontent.com/p/AF1QipOv2pchnxeXFLLoxh6LDoaM8SzTXaSDcXyDin3a=s2732-w2732-h1286-rw,https://www.zomato.com/visakhapatnam/uma-parlour-gajuwaka-vizag
Sam's Griddle,https://lh3.googleusercontent.com/p/AF1QipOiZAzwUXRCu4zGYDA2M3RfEajBJ42i3VaQ8bZC=s680-w680-h510,https://samsgriddle.com/
BRUNCH & SUPPER,https://lh3.googleusercontent.com/p/AF1QipOUzm9WgqqfF3-gRtCxXBwZ4vzET73f_eAHcRSW=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/brunch-supper-gajuwaka-vizag
Waltair Kitchen,https://lh3.googleusercontent.com/p/AF1QipP5ZOLJKei80OhNvnVrnLLd1m3oF9Ue2X7l8hay=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/waltair-kitchen-pl-grand-waltair-uplands-vizag
Maong's Restaurant,https://lh3.googleusercontent.com/p/AF1QipPJptuh7xpqdG7Vr7hKiwGemhCF3XzvtKXTN_10=s1360-w1360-h1020,https://maongs-chinese-delights.business.site/?utm_source=gmb&utm_medium=referral
Dolphin Restaurant,"https://res.cloudinary.com/simplotel/image/upload/x_285,y_526,w_3744,h_2112,r_0,c_crop,q_80,fl_progressive/w_1237,f_auto,c_fit/dolphin-hotel/Cascades_1",https://www.dolphinhotelsvizag.com/dining.html
Eaters Stop ,https://lh3.googleusercontent.com/p/AF1QipNL7-G2w9M1YikwZ5_Hbb0p0N-qlRE-arWw_Xrw=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/eaters-stop-1-nad-junction-vizag
V Nawabi Darbar,https://lh3.googleusercontent.com/p/AF1QipOuG6sPuHZIUkBIVFp_c2R7mjhgiBwj6IkFjG_f=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/v-nawabi-darbar-akkayyapalem-vizag
Royal Foodies,https://lh3.googleusercontent.com/p/AF1QipMO-ctucnkO92mQwGIitlU6CQL0XSwFLx09QRA=s1360-w1360-h1020,https://www.zomato.com/visakhapatnam/royal-foodies-gajuwaka-vizag
Fusion Foods,https://lh3.googleusercontent.com/p/AF1QipM7Qq2pL2-wHzyK_EcP7YAVYXmJPCeEkvccZEf3=s1360-w1360-h1020,https://www.fusionfoods.net/
